FQDN,Is_Bad,Has_A_Record,Has_AAAA_Record,Has_MX_Record,Has_TXT_Record,A_Records,AAAA_Records,MX_Records,TXT_Records,Final_Protocol_HTTPS,Status_Code_OK,HTTP_to_HTTPS_Redirect,High_Redirects,Redirects,HSTS,Certificate_Valid,Has_Suspicious_Keywords,Final_URL_Known,Certificate_Issuer,Certificate_Expiry,Domain_Age,TLD,Content_Type,IP_Analysis,Overall_Status
www.vnreintka5.web.app,0,1,1,2,2,0.0.0.0,::,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,"0.0.0.0: (ASN=2, Country=2, Description=2); ",Good
perisplenic.xyz,1,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,Caution
www.trutthedu.com,0,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,,Good
www.renxlx.xyz,1,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,Caution
www.alexandrakraif.com,0,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,,Good
www.chatgpt.whymoney.info,0,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,,Good
blueprogmg.space,0,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,,Good
www.discountcamph.store,0,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,,Good
reagent.space,0,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,,Good
aa727.dichvummo.xyz,1,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,Caution
jdmpropertygroup.com,0,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,,Good
www.combi28728dsa-72cza.kosopera.co.pl,0,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,,Good
augwyes.digital,0,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,,Good
www.411229-istotny-8188.tjall.co.pl,0,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,,Good
nagrania-z-wypadku.waw.pl,0,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,,Good
www.07vqj.mjt.lu,1,1,2,2,1,35.241.186.140,,,"""v=DKIM1; p="",""v=spf1 -all""",0,1,0,0,0,2,1,0,1,2,2,2,0,0,"35.241.186.140: (ASN=2, Country=2, Description=2); ",Warning
plancompareedge.org,0,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,,Good
ad.ma.doubleclick.net,1,1,2,2,2,142.251.209.38,,,,1,1,1,0,1,0,1,0,1,2,2,2,0,0,"142.251.209.38: (ASN=2, Country=2, Description=2); ",Warning
tup.ulitron.ru,0,1,1,2,2,0.0.0.0,::,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,"0.0.0.0: (ASN=2, Country=2, Description=2); ",Good
vjnted.879005.xyz,1,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,Caution
013-vgp-118.mktoresp.com,1,1,2,2,2,192.28.144.124,,,,0,0,0,0,0,2,1,2,1,2,2,2,0,0,"192.28.144.124: (ASN=2, Country=2, Description=2); ",Suspicious
www.zsbwoqpcxj.com,0,1,1,2,2,0.0.0.0,::,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,"0.0.0.0: (ASN=2, Country=2, Description=2); ",Good
getfreebies.affise.com,0,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,,Good
webdisk.chatgptforever.net,0,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,,Good
mous7.biz,1,1,2,1,1,103.224.212.216,,10 park-mx.above.com.,"""v=spf1 ip6:fdcf:abda:4154::/48 -all""",0,1,0,0,1,2,1,0,1,2,2,2,0,0,"103.224.212.216: (ASN=0, Country=0, Description=0); ",Warning
11088-1623860174.ampxchange.com,1,1,2,2,2,104.218.72.17,,,,1,0,1,0,2,1,1,2,1,2,2,2,0,0,"104.218.72.17: (ASN=2, Country=2, Description=2); ",Warning
stg-showy-brain.cell.us.nr-data.net,0,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,,Good
video.wap.mpush.qq.com,0,1,2,2,2,0.0.0.1,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,"0.0.0.1: (ASN=2, Country=2, Description=2); ",Good
ww1.adm-vids.com,1,1,2,1,1,103.224.182.253,,10 park-mx.above.com.,"""v=spf1 ip6:fdcf:abda:4154::/48 -all""",0,0,0,0,1,2,1,2,1,2,2,2,0,0,"103.224.182.253: (ASN=0, Country=0, Description=0); ",Suspicious
www.proadprovider.net,1,1,2,2,2,23.96.13.243,,,,1,1,1,0,1,0,1,0,1,2,2,2,0,0,"23.96.13.243: (ASN=2, Country=2, Description=2); ",Warning
www.vystar-login.info,1,1,2,2,2,199.59.243.228,,,,0,1,0,0,0,2,1,1,1,2,2,2,0,0,"199.59.243.228: (ASN=2, Country=2, Description=2); ",Suspicious
jd.parkingcrew.net,1,1,2,2,2,"13.248.148.254,76.223.26.96",,,,0,0,0,0,0,2,1,2,1,2,2,2,0,0,"13.248.148.254: (ASN=2, Country=2, Description=2); 76.223.26.96: (ASN=2, Country=2, Description=2); ",Suspicious
www.billiebrim.org,1,1,2,1,1,103.224.182.241,,10 park-mx.above.com.,"""v=spf1 ip6:fdcf:abda:4154::/48 -all"",""dff538f58f84f5b4f5b8683858529b0c9dc01ed6""",0,1,0,0,0,2,1,0,1,2,2,2,0,0,"103.224.182.241: (ASN=0, Country=0, Description=0); ",Warning
www.zc615.paris,0,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,,Good
www.ibexexpressint.com,0,1,1,2,2,0.0.0.0,::,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,"0.0.0.0: (ASN=2, Country=2, Description=2); ",Good
verifikasi-facebook.wikaba.com,0,1,1,2,2,0.0.0.0,::,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,"0.0.0.0: (ASN=2, Country=2, Description=2); ",Good
usacolorfullife.net,0,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,,Good
travelminit.pushengage.com,1,1,2,2,2,"44.208.130.69,44.198.109.43",,,,0,1,0,0,0,2,1,0,1,2,2,2,0,0,"44.208.130.69: (ASN=2, Country=2, Description=2); 44.198.109.43: (ASN=2, Country=2, Description=2); ",Warning
pestadiamonffgratiss.duckdns.org,0,1,2,1,1,192.169.69.26,,50 pestadiamonffgratiss.duckdns.org.,"""""",2,2,2,2,2,2,2,2,2,2,2,2,0,2,"192.169.69.26: (ASN=2, Country=2, Description=2); ",Good
eip-ntt.audio-ak.spotify.com.akahost.net,1,1,1,2,2,184.31.10.33,2600:1480:4000:21::,,,0,0,0,0,0,2,1,2,1,2,2,2,0,0,"184.31.10.33: (ASN=0, Country=0, Description=0); ",Suspicious
dynamic-ads.admicro.vn,1,1,2,2,2,123.30.242.10,,,,0,1,0,0,0,2,1,0,1,2,2,2,0,0,"123.30.242.10: (ASN=0, Country=0, Description=0); ",Warning
spencech.com,0,1,2,2,2,72.52.179.174,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,"72.52.179.174: (ASN=2, Country=2, Description=2); ",Good
secureloginrbfcu.misecure.com,0,1,2,2,2,20.83.179.22,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,"20.83.179.22: (ASN=2, Country=2, Description=2); ",Good
shadowlegion.duckdns.org,0,1,2,1,1,192.169.69.26,,50 shadowlegion.duckdns.org.,"""""",2,2,2,2,2,2,2,2,2,2,2,2,0,2,"192.169.69.26: (ASN=2, Country=2, Description=2); ",Good
news.infocos.site,0,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,,Good
www.mediaplazza.com,0,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,,Good
counte10.bravenet.com,1,1,2,2,2,38.88.83.73,,,,1,0,1,0,1,0,1,2,1,2,2,2,0,0,"38.88.83.73: (ASN=2, Country=2, Description=2); ",Suspicious
syntaxti.com.br,1,1,1,1,1,187.1.138.138,2804:10:8010::138:138,"5 mx-vip-02.kinghost.net.,5 mx-vip-01.kinghost.net.","""v=spf1 include:_spf.kinghost.net -all""",0,1,0,0,0,2,1,0,1,2,2,2,0,0,"187.1.138.138: (ASN=0, Country=0, Description=0); ",Warning
mail1.invictawatches.com,1,1,2,1,1,103.224.182.241,,10 park-mx.above.com.,"""v=spf1 ip6:fdcf:abda:4154::/48 -all""",0,0,0,0,1,2,1,2,1,2,2,2,0,0,"103.224.182.241: (ASN=0, Country=0, Description=0); ",Suspicious
r4eqb1wc.emltrk.com,1,1,2,2,2,"98.84.229.109,34.206.233.62,44.212.98.190,34.206.128.153",,,,0,0,0,0,0,2,1,2,1,2,2,2,0,0,"98.84.229.109: (ASN=2, Country=2, Description=2); 34.206.233.62: (ASN=2, Country=2, Description=2); 44.212.98.190: (ASN=2, Country=2, Description=2); 34.206.128.153: (ASN=2, Country=2, Description=2); ",Suspicious
ek6rpv-skadsdkless.appsflyersdk.com,1,1,2,2,2,"18.66.200.174,18.66.200.171,18.66.200.131,18.66.200.18",,,,0,0,0,0,0,2,1,2,1,2,2,2,0,0,"18.66.200.174: (ASN=2, Country=2, Description=2); 18.66.200.171: (ASN=2, Country=2, Description=2); 18.66.200.131: (ASN=2, Country=2, Description=2); 18.66.200.18: (ASN=2, Country=2, Description=2); ",Suspicious
suyuucii20.duckdns.org,0,1,2,1,1,192.169.69.26,,50 suyuucii20.duckdns.org.,"""""",2,2,2,2,2,2,2,2,2,2,2,2,0,2,"192.169.69.26: (ASN=2, Country=2, Description=2); ",Good
p215959.inclk.com,0,1,2,1,1,72.52.178.23,,10 mc.planbnow.co.,"""v=spf1 -all""",2,2,2,2,2,2,2,2,2,2,2,2,0,2,"72.52.178.23: (ASN=2, Country=2, Description=2); ",Good
beta.affiliates.adsterra.com,1,1,1,2,2,"104.22.3.140,104.22.2.140,172.67.9.245","2606:4700:10::6816:28c,2606:4700:10::ac43:9f5,2606:4700:10::6816:38c",,,1,1,1,0,2,1,1,0,1,2,2,2,0,0,"104.22.3.140: (ASN=0, Country=0, Description=0); 104.22.2.140: (ASN=0, Country=0, Description=0); 172.67.9.245: (ASN=2, Country=2, Description=2); ",Warning
mkt1453.com,1,1,2,1,1,"54.205.13.234,52.4.150.208",,"10 reply.mkt1453.com.,20 mail1653.mkt1453.com.","""v=spf1 ip4:208.85.55.136 -all""",0,1,0,0,1,2,1,0,1,2,2,2,0,0,"54.205.13.234: (ASN=2, Country=2, Description=2); 52.4.150.208: (ASN=2, Country=2, Description=2); ",Warning
www.surgeprice.com,0,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,,Good
ads.nationchannel.com,0,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,,Good
metric.bestbuymobile.com,1,1,2,2,2,3.33.139.32,,,,1,0,1,0,1,1,1,2,1,2,2,2,0,0,"3.33.139.32: (ASN=2, Country=2, Description=2); ",Warning
www.taboutricewu.xyz,1,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,Caution
atimedesign.by.wonderpush.com,1,1,1,2,2,"104.18.18.183,104.18.19.183","2606:4700::6812:12b7,2606:4700::6812:13b7",,,0,1,0,0,0,2,1,0,1,2,2,2,0,0,"104.18.18.183: (ASN=2, Country=2, Description=2); 104.18.19.183: (ASN=2, Country=2, Description=2); ",Warning
nutragalaxy.com,1,1,2,1,1,63.250.38.203,,"30 mx3-hosting.jellyfish.systems.,20 mx2-hosting.jellyfish.systems.,10 mx1-hosting.jellyfish.systems.","""MAltYWlsLm51dHJhZ2FsYXh5LmNvbS4K"",""v=spf1 +mx +a +ip4:63.250.38.207 -all""",1,1,1,0,1,0,1,0,1,2,2,2,0,0,"63.250.38.203: (ASN=0, Country=0, Description=0); ",Warning
529517.ortb.adtelligent.com,1,1,1,2,2,"23.227.152.154,23.227.151.210,23.227.151.186,23.227.151.178","2607:4f00:939::2,2607:4f00:931::2,2607:4f00:930::2,2607:4f00:992::2",,,0,0,0,0,0,2,1,2,1,2,2,2,0,1,"23.227.152.154: (ASN=0, Country=0, Description=0); 23.227.151.210: (ASN=2, Country=2, Description=2); 23.227.151.186: (ASN=2, Country=2, Description=2); 23.227.151.178: (ASN=2, Country=2, Description=2); ",Suspicious
008wsbj.com,0,1,1,2,2,0.0.0.0,::,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,"0.0.0.0: (ASN=2, Country=2, Description=2); ",Good
bx9bwy.myraidbox.de,0,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,,Good
timberland.fr.102.112.2o7.net,1,1,2,2,2,"63.140.62.17,63.140.62.27,63.140.62.222",,,,0,1,0,0,0,2,1,0,1,2,2,2,0,0,"63.140.62.17: (ASN=2, Country=2, Description=2); 63.140.62.27: (ASN=2, Country=2, Description=2); 63.140.62.222: (ASN=2, Country=2, Description=2); ",Warning
130021722.keywordblocks.com,1,1,1,2,2,34.120.157.218,2600:1901:0:5ff9::,,,1,1,1,0,1,0,1,0,1,2,2,2,0,0,"34.120.157.218: (ASN=0, Country=0, Description=0); ",Warning
openai.kingofchatgpt.com,1,1,1,2,2,"104.21.64.1,104.21.48.1,104.21.16.1,104.21.96.1,104.21.32.1,104.21.80.1,104.21.112.1","2606:4700:3030::6815:7001,2606:4700:3030::6815:4001,2606:4700:3030::6815:5001,2606:4700:3030::6815:3001,2606:4700:3030::6815:6001,2606:4700:3030::6815:2001,2606:4700:3030::6815:1001",,,0,0,0,0,0,2,1,2,1,2,2,2,0,0,"104.21.64.1: (ASN=0, Country=0, Description=0); 104.21.48.1: (ASN=0, Country=0, Description=0); 104.21.16.1: (ASN=2, Country=2, Description=2); 104.21.96.1: (ASN=2, Country=2, Description=2); 104.21.32.1: (ASN=0, Country=0, Description=0); 104.21.80.1: (ASN=2, Country=2, Description=2); 104.21.112.1: (ASN=2, Country=2, Description=2); ",Suspicious
84bbf46071.smapp.work,1,1,2,2,2,35.186.250.143,,,,0,1,0,0,0,2,1,0,1,2,2,2,0,0,"35.186.250.143: (ASN=2, Country=2, Description=2); ",Warning
aj2521.bid,0,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,,Good
staging3.moat.com,1,1,2,2,2,"35.172.120.230,3.89.22.196",,,,1,1,1,0,2,1,1,0,1,2,2,2,0,0,"35.172.120.230: (ASN=2, Country=2, Description=2); 3.89.22.196: (ASN=2, Country=2, Description=2); ",Warning
treatment-efbf1.web.app,1,1,1,2,2,199.36.158.100,2620:0:890::100,,,1,0,1,0,1,1,1,2,1,2,2,2,0,0,"199.36.158.100: (ASN=2, Country=2, Description=2); ",Warning
coconuttranha.duckdns.org,0,1,2,1,1,24.25.207.181,,50 coconuttranha.duckdns.org.,"""""",2,2,2,2,2,2,2,2,2,2,2,2,0,2,"24.25.207.181: (ASN=2, Country=2, Description=2); ",Good
webmail.grubwhatsapp-12.duckdns.org,0,1,2,1,1,192.169.69.26,,50 webmail.grubwhatsapp-12.duckdns.org.,"""""",2,2,2,2,2,2,2,2,2,2,2,2,0,2,"192.169.69.26: (ASN=0, Country=0, Description=0); ",Good
amazonhrdeliversjobsprod.112.2o7.net,1,1,2,2,2,"63.140.62.27,63.140.62.222,63.140.62.17",,,,0,1,0,0,0,2,1,0,1,2,2,2,0,0,"63.140.62.27: (ASN=2, Country=2, Description=2); 63.140.62.222: (ASN=2, Country=2, Description=2); 63.140.62.17: (ASN=2, Country=2, Description=2); ",Warning
cr.pubmatic.com,0,1,2,2,2,64.27.70.10,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,"64.27.70.10: (ASN=2, Country=2, Description=2); ",Good
yuchengxian.baixing.com,1,1,1,2,2,39.100.51.182,2408:4001:f30::2a0,,,1,1,1,0,1,0,1,0,1,2,2,2,0,0,"39.100.51.182: (ASN=0, Country=0, Description=0); ",Warning
www.find-fun.net,1,1,2,2,2,162.43.104.30,,,,0,1,0,0,1,2,1,0,1,2,2,2,0,0,"162.43.104.30: (ASN=0, Country=0, Description=0); ",Warning
avycbfds7.ml,0,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,,Good
brussheitnerfuneralhome.com,0,1,2,2,2,38.239.224.247,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,"38.239.224.247: (ASN=2, Country=2, Description=2); ",Good
ggl.gzpr.xyz,1,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,Caution
www.johnfrieda.lisnr.com,0,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,,Good
factjjj.com,0,2,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,2,2,0,2,,Good
