word,score
login,0.96
account,0.94
verify,0.92
update,0.91
security,0.80
paypal,0.99
bank,0.99
rewards,0.90
free,0.80
prize,0.85
gift,0.83
claim,0.88
winner,0.87
discount,0.75
offer,0.70
urgent,0.93
important,0.90
official,0.82
support,0.70
service,0.65
malware,0.99
virus,0.99
trojan,0.99
exploit,0.99
hack,0.98
spyware,0.99
adware,0.95
ransomware,0.99
keylogger,0.99
botnet,0.99
phishing,0.99
scam,0.99
fraud,0.99
click,0.70
download,0.75
install,0.73
patch,0.60
secure,0.55
web,0.25
site,0.25
online,0.40
info,0.30
server,0.45
admin,0.50
gateway,0.55
portal,0.50
client,0.45
cloud,0.40
data,0.35
center,0.30
system,0.40
solution,0.45
network,0.35
global,0.30
access,0.45
verifyaccount,0.97
loginsecure,0.97
securelogin,0.97
updateaccount,0.96
accountupdate,0.96
freeprize,0.94
prizefree,0.94
giftcard,0.92
cardgift,0.92
claimnow,0.95
nowclaim,0.95
winnernow,0.94
nowwinner,0.94
discountoffer,0.90
offercoupon,0.89
urgentaction,0.96
actionurgent,0.96
importantnotice,0.95
noticesimportant,0.95
officialsite,0.88
siteofficial,0.88
supportonline,0.80
onlinesupport,0.80
servicesonline,0.75
onlineservices,0.75
malwaredetection,0.99
virusscan,0.99
trojanremover,0.99
exploitblocker,0.99
hackprotection,0.99
spywarecleaner,0.99
adwareremover,0.99
ransomwareprotection,0.99
keyloggerdetector,0.99
botnetremoval,0.99
phishingsite,0.99
scamalert,0.99
fraudprevention,0.99
clickhere,0.80
downloadnow,0.85
installfree,0.83
patchsecurity,0.75
secureweb,0.70
websitemanager,0.65
onlineportal,0.70
infoservice,0.60
serveraccess,0.65
admingateway,0.70
portalcloud,0.65
clientsystem,0.60
cloudnetwork,0.55
datanetwork,0.50
centersystem,0.55
systemsolution,0.60
networksolution,0.50
globalaccess,0.45
accessportal,0.65
gatewayclient,0.65
clientadmin,0.60
adminservice,0.65
servicecloud,0.60
cloudcenter,0.55
datacenter,0.50
systemcenter,0.55
solutioncenter,0.60
networkcenter,0.50
globalcenter,0.45
accesscenter,0.65
portalcenter,0.65
clientcenter,0.60
admincenter,0.65
servicecenter,0.60
centerdata,0.50
centersystem,0.55
centersolution,0.60
centernetwork,0.50
centerglobal,0.45
centeraccess,0.65
centerportal,0.65
centerclient,0.60
centeradmin,0.65
centerservice,0.60
centerinfo,0.55
centerweb,0.55
centersite,0.55
centeronline,0.65
centerserver,0.65
centergateway,0.70
centersupport,0.75
centersecurity,0.70
centerpatch,0.65
centerinstall,0.80
centerdownload,0.85
centerclick,0.80
centerfraud,0.99
centerscam,0.99
centerphishing,0.99
centerbotnet,0.99
centerkeylogger,0.99
centerransomware,0.99
centeradware,0.99
centerspyware,0.99
centerhack,0.99
centerexploit,0.99
centertrojan,0.99
centervirus,0.99
centermalware,0.99
centerservice,0.75
centerurgent,0.97
centerimportant,0.96
centerofficial,0.90
centerdiscount,0.88
centerprize,0.91
centergift,0.90
centerclaim,0.93
centerwinner,0.92
centerrewards,0.95
centerbank,0.99
centerpaypal,0.99
centersecurity,0.80
centerupdate,0.96
centerverify,0.95
centeraccount,0.96
centerlogin,0.98
centerfree,0.85
limitedtime,0.95
expiressoon,0.96
actfast,0.94
restricted,0.97
suspended,0.98
terminated,0.98
compromised,0.99
submit,0.91
enterdetails,0.93
provideinfo,0.92
confirmaccount,0.95
payment,0.94
transaction,0.93
balance,0.92
invoice,0.91
creditcard,0.98
debitcard,0.98
visa,0.97
mastercard,0.97
amex,0.96
citibank,0.98
chasebank,0.98
wellsfargo,0.97
irs,0.99
fbi,0.99
government,0.98
police,0.98
microsoftsupport,0.97
applesupport,0.97
youraccount,0.96
yourlogin,0.97
yoursecurity,0.95
onlinebanking,0.98
mobilebanking,0.97
internetbanking,0.98
securepayment,0.97
verifyidentity,0.98
accountsecurity,0.97
loginnow,0.98
claimgift,0.96
freerewards,0.97
urgentupdate,0.97
importantsecurity,0.96
officialnotice,0.95
supportcenter,0.80
serviceportal,0.75
dataaccess,0.70
systemsecurity,0.75
networksecurity,0.70
globalnetwork,0.60
accessdenied,0.95
portalaccess,0.75
clientportal,0.70
adminsupport,0.75
serviceadmin,0.70
cloudsecurity,0.70
datasecurity,0.65
systemadmin,0.70
solutionprovider,0.65
networkadmin,0.65
globalreach,0.55
accessrequest,0.70
portaldesign,0.65
clientfeedback,0.65
adminservices,0.70
servicelevel,0.65
cloudservices,0.65
datamanagement,0.60
systemdesign,0.65
solutiondesign,0.65
networkdesign,0.60
globalstrategy,0.55
accesscontrol,0.80
portalmanager,0.65
clientmanager,0.65
adminmanager,0.70
servicemanager,0.65
cloudmanager,0.65
datamanager,0.60
systemmanager,0.65
solutionmanager,0.65
networkmanager,0.60
globalmanager,0.55
accessmanager,0.70
portaladmin,0.70
clientadmin,0.70
adminportal,0.70
serviceportal,0.70
cloudportal,0.70
dataportal,0.65
systemportal,0.70
solutionportal,0.70
networkportal,0.65
globalportal,0.60
accessportal,0.70
portaldata,0.65
clientdata,0.60
admindata,0.65
servicedata,0.60
clouddata,0.60
systemdata,0.65
solutiondata,0.65
networkdata,0.60
globaldata,0.55
accessdata,0.65
portalinfo,0.60
clientinfo,0.55
admininfo,0.60
serviceinfo,0.55
cloudinfo,0.55
systeminfo,0.60
solutioninfo,0.60
networkinfo,0.55
globalinfo,0.50
accessinfo,0.60
portalonline,0.65
clientonline,0.60
adminonline,0.65
serviceonline,0.60
cloudonline,0.60
systemonline,0.65
solutiononline,0.65
networkonline,0.60
globalonline,0.55
accessonline,0.65
portalweb,0.65
clientweb,0.60
adminweb,0.65
serviceweb,0.60
cloudweb,0.60
systemweb,0.65
solutionweb,0.65
networkweb,0.60
globalweb,0.55
accessweb,0.65
portalsite,0.65
clientsite,0.60
adminsite,0.65
servicesite,0.60
cloudsite,0.60
systemsite,0.65
solutionsite,0.65
networksite,0.60
globalsite,0.55
accesssite,0.65
portalaccess,0.70
clientaccess,0.65
adminaccess,0.70
serviceaccess,0.65
cloudaccess,0.65
systemaccess,0.70
solutionaccess,0.70
networkaccess,0.65
globalaccess,0.60
accessportal,0.70
accessclient,0.65
accessadmin,0.70
accessservice,0.65
accesscloud,0.65
accesssystem,0.70
accesssolution,0.70
accessnetwork,0.65
accessglobal,0.60
cdn,0.05
static,0.05
api,0.10
blog,0.15
news,0.15
docs,0.10
help,0.20
downloadcenter,0.50
supportportal,0.55
serviceportal,0.55
infocenter,0.40
dataserver,0.50
webportal,0.50
clientsupport,0.50
adminsupport,0.55
